portfolio_id,wind_mw,solar_mw,battery_mw,group,capex_B
0,0.0,0.0,0.0,baseline,0.0
1,500.0,0.0,0.0,wind_only,0.7
2,1000.0,0.0,0.0,wind_only,1.4
3,2000.0,0.0,0.0,wind_only,2.8
4,3000.0,0.0,0.0,wind_only,4.2
5,4000.0,0.0,0.0,wind_only,5.6
6,5000.0,0.0,0.0,wind_only,7.0
7,6000.0,0.0,0.0,wind_only,8.4
8,8000.0,0.0,0.0,wind_only,11.2
9,10000.0,0.0,0.0,wind_only,14.0
10,0.0,500.0,0.0,solar_only,0.55
11,0.0,1000.0,0.0,solar_only,1.1
12,0.0,2000.0,0.0,solar_only,2.2
13,0.0,3000.0,0.0,solar_only,3.3
14,0.0,4000.0,0.0,solar_only,4.4
15,0.0,5000.0,0.0,solar_only,5.5
16,0.0,6000.0,0.0,solar_only,6.6
17,0.0,8000.0,0.0,solar_only,8.8
18,0.0,10000.0,0.0,solar_only,11.0
19,0.0,0.0,200.0,battery_only,0.24
20,0.0,0.0,500.0,battery_only,0.6
21,0.0,0.0,1000.0,battery_only,1.2
22,0.0,0.0,1500.0,battery_only,1.8
23,0.0,0.0,2000.0,battery_only,2.4
24,1000.0,1000.0,0.0,equal_ws,2.5
25,2000.0,2000.0,0.0,equal_ws,5.0
26,3500.0,3500.0,0.0,equal_ws,8.75
27,5000.0,5000.0,0.0,equal_ws,12.5
28,7500.0,7500.0,0.0,equal_ws,18.75
29,900.0,900.0,200.0,balanced,2.49
30,2200.0,2200.0,500.0,balanced,6.1
31,3600.0,3600.0,800.0,balanced,9.96
32,5400.0,5400.0,1200.0,balanced,14.94
33,7200.0,7200.0,1600.0,balanced,19.92
34,4000.0,1000.0,0.0,wind_heavy,6.7
35,4000.0,3000.0,0.0,wind_heavy,8.9
36,6000.0,1000.0,0.0,wind_heavy,9.5
37,6000.0,3000.0,0.0,wind_heavy,11.7
38,8000.0,1000.0,0.0,wind_heavy,12.3
39,8000.0,3000.0,0.0,wind_heavy,14.5
40,10000.0,1000.0,0.0,wind_heavy,15.1
41,10000.0,3000.0,0.0,wind_heavy,17.3
42,1000.0,4000.0,0.0,solar_heavy,5.8
43,3000.0,4000.0,0.0,solar_heavy,8.6
44,1000.0,6000.0,0.0,solar_heavy,8.0
45,3000.0,6000.0,0.0,solar_heavy,10.8
46,1000.0,8000.0,0.0,solar_heavy,10.2
47,3000.0,8000.0,0.0,solar_heavy,13.0
48,1000.0,10000.0,0.0,solar_heavy,12.4
49,3000.0,10000.0,0.0,solar_heavy,15.2
50,4820.0,8160.0,1180.0,lhs,17.14
51,7130.0,3990.0,340.0,lhs,14.779
52,5720.0,7320.0,1600.0,lhs,17.98
53,4160.0,4960.0,1280.0,lhs,12.816
54,3840.0,1120.0,1150.0,lhs,7.988
55,780.0,9340.0,340.0,lhs,11.774
56,1220.0,1940.0,360.0,lhs,4.274
57,5560.0,6000.0,1460.0,lhs,16.136
58,7320.0,9880.0,1450.0,lhs,22.856
59,2400.0,1480.0,230.0,lhs,5.264
60,5230.0,7600.0,750.0,lhs,16.582
61,6560.0,850.0,1420.0,lhs,11.823
62,5690.0,8050.0,200.0,lhs,17.061
63,2930.0,5760.0,1380.0,lhs,12.094
64,930.0,3670.0,1880.0,lhs,7.595
65,8820.0,2260.0,790.0,lhs,15.782
66,7930.0,9590.0,1700.0,lhs,23.691
67,1400.0,620.0,150.0,lhs,2.822
68,8030.0,5920.0,490.0,lhs,18.342
69,1540.0,5290.0,1820.0,lhs,10.159
70,8930.0,4350.0,690.0,lhs,18.115
71,5120.0,540.0,1030.0,lhs,8.998
72,7040.0,9470.0,860.0,lhs,21.305
73,9560.0,5580.0,1850.0,lhs,21.742
74,7420.0,6280.0,1320.0,lhs,18.88
75,4670.0,2570.0,1270.0,lhs,10.889
76,7840.0,7720.0,10.0,lhs,19.48
77,360.0,2420.0,480.0,lhs,3.742
78,1200.0,6190.0,590.0,lhs,9.197
79,5950.0,9980.0,1790.0,lhs,21.456
80,7280.0,7930.0,1870.0,lhs,21.159
81,4560.0,4170.0,530.0,lhs,11.607
82,6860.0,5490.0,580.0,lhs,16.339
83,9100.0,2710.0,170.0,lhs,15.925
84,6770.0,7400.0,60.0,lhs,17.69
85,3630.0,5160.0,1180.0,lhs,12.174
86,3590.0,8810.0,90.0,lhs,14.825
87,1680.0,5070.0,770.0,lhs,8.853
88,5380.0,1810.0,820.0,lhs,10.507
89,30.0,2960.0,1710.0,lhs,5.35
90,3040.0,1240.0,320.0,lhs,6.004
91,8460.0,8400.0,1430.0,lhs,22.8
92,1970.0,8490.0,1640.0,lhs,14.065
93,1740.0,6580.0,400.0,lhs,10.154
94,9440.0,9760.0,210.0,lhs,24.204
95,2300.0,7000.0,1050.0,lhs,12.18
96,4020.0,190.0,1070.0,lhs,7.121
97,2850.0,4810.0,890.0,lhs,10.349
98,7750.0,9670.0,710.0,lhs,22.339
99,2150.0,3860.0,1240.0,lhs,8.744
100,5420.0,3210.0,620.0,lhs,11.863
101,140.0,8590.0,1950.0,lhs,11.985
102,870.0,3430.0,1100.0,lhs,6.311
103,4420.0,8790.0,500.0,lhs,16.457
104,2080.0,2100.0,550.0,lhs,5.882
105,8660.0,6920.0,1900.0,lhs,22.016
106,1870.0,1700.0,430.0,lhs,5.004
107,450.0,70.0,520.0,lhs,1.331
108,9380.0,4300.0,250.0,lhs,18.162
109,600.0,9010.0,1740.0,lhs,12.839
110,7610.0,710.0,1250.0,lhs,12.935
111,9070.0,2320.0,930.0,lhs,16.366
112,8160.0,7890.0,100.0,lhs,20.223
113,6470.0,310.0,1020.0,lhs,10.623
114,5090.0,8620.0,1000.0,lhs,17.808
115,6080.0,6440.0,1960.0,lhs,17.948
116,2780.0,7170.0,620.0,lhs,12.523
117,3100.0,9150.0,1380.0,lhs,16.061
118,300.0,6880.0,660.0,lhs,8.78
119,4730.0,490.0,1510.0,lhs,8.973
120,3330.0,1040.0,400.0,lhs,6.286
121,6620.0,4630.0,720.0,lhs,15.225
122,9990.0,5890.0,1080.0,lhs,21.761
123,8360.0,5670.0,1350.0,lhs,19.561
124,6130.0,7500.0,1610.0,lhs,18.764
125,9210.0,5400.0,810.0,lhs,19.806
126,9640.0,8290.0,880.0,lhs,23.671
127,9860.0,6700.0,50.0,lhs,21.234
128,1010.0,2120.0,1330.0,lhs,5.342
129,6920.0,2700.0,1780.0,lhs,14.794
130,4320.0,3120.0,1680.0,lhs,11.496
131,550.0,6340.0,1540.0,lhs,9.592
132,1440.0,3360.0,1490.0,lhs,7.5
133,3260.0,4740.0,1820.0,lhs,11.962
134,6260.0,3080.0,1220.0,lhs,13.616
135,4920.0,8920.0,460.0,lhs,17.252
136,6390.0,4040.0,1580.0,lhs,15.286
137,7520.0,6670.0,1140.0,lhs,19.233
138,8210.0,1580.0,1530.0,lhs,15.068
139,3480.0,7290.0,1940.0,lhs,15.219
140,8590.0,4480.0,280.0,lhs,17.29
141,9740.0,1330.0,290.0,lhs,15.447
142,3970.0,250.0,1720.0,lhs,7.897
143,2420.0,3800.0,140.0,lhs,7.736
144,2580.0,4580.0,30.0,lhs,8.686
145,4260.0,3600.0,670.0,lhs,10.728
146,5850.0,1690.0,960.0,lhs,11.201
147,3800.0,910.0,960.0,lhs,7.473
148,2620.0,9210.0,900.0,lhs,14.879
149,8720.0,2820.0,1990.0,lhs,17.698
