run_id,phase,group,param_label,run_label,date,days,config_path,total_mw,flex_pct,lp_alpha,deferral_h,dc_grid
0,baseline,baseline,default,baseline_Jan,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_baseline__2018-01-02.json,20300,30,0.5,12,Texas-7k-DC
1,baseline,baseline,default,baseline_Apr,2018-04-01,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_baseline__2018-04-01.json,20300,30,0.5,12,Texas-7k-DC
2,baseline,baseline,default,baseline_Jul,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_baseline__2018-07-01.json,20300,30,0.5,12,Texas-7k-DC
3,baseline,baseline,default,baseline_Oct,2018-10-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_baseline__2018-10-01.json,20300,30,0.5,12,Texas-7k-DC
4,sensitivity,load_growth,amp_25pct,load_growth/amp_25pct/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__load_growth__amp_25pct__2018-01.json,25375,30,0.5,12,Texas-7k-DC-SCALED
5,sensitivity,flex,flex_20pct,flex/flex_20pct/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_20pct__2018-01.json,20300,20,0.5,12,Texas-7k-DC
6,sensitivity,flex,flex_40pct,flex/flex_40pct/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_40pct__2018-01.json,20300,40,0.5,12,Texas-7k-DC
7,sensitivity,flex,flex_50pct,flex/flex_50pct/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_50pct__2018-01.json,20300,50,0.5,12,Texas-7k-DC
8,sensitivity,alpha,alpha_0.00,alpha/alpha_0.00/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.00__2018-01.json,20300,30,0.0,12,Texas-7k-DC
9,sensitivity,alpha,alpha_0.25,alpha/alpha_0.25/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.25__2018-01.json,20300,30,0.25,12,Texas-7k-DC
10,sensitivity,alpha,alpha_0.75,alpha/alpha_0.75/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.75__2018-01.json,20300,30,0.75,12,Texas-7k-DC
11,sensitivity,alpha,alpha_1.00,alpha/alpha_1.00/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_1.00__2018-01.json,20300,30,1.0,12,Texas-7k-DC
12,sensitivity,deferral,deferral_4h,deferral/deferral_4h/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_4h__2018-01.json,20300,30,0.5,4,Texas-7k-DC
13,sensitivity,deferral,deferral_8h,deferral/deferral_8h/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_8h__2018-01.json,20300,30,0.5,8,Texas-7k-DC
14,sensitivity,deferral,deferral_18h,deferral/deferral_18h/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_18h__2018-01.json,20300,30,0.5,18,Texas-7k-DC
15,sensitivity,deferral,deferral_24h,deferral/deferral_24h/2018-01,2018-01-02,30,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_24h__2018-01.json,20300,30,0.5,24,Texas-7k-DC
16,sensitivity,load_growth,amp_25pct,load_growth/amp_25pct/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__load_growth__amp_25pct__2018-07.json,25375,30,0.5,12,Texas-7k-DC-SCALED
17,sensitivity,flex,flex_20pct,flex/flex_20pct/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_20pct__2018-07.json,20300,20,0.5,12,Texas-7k-DC
18,sensitivity,flex,flex_40pct,flex/flex_40pct/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_40pct__2018-07.json,20300,40,0.5,12,Texas-7k-DC
19,sensitivity,flex,flex_50pct,flex/flex_50pct/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__flex__flex_50pct__2018-07.json,20300,50,0.5,12,Texas-7k-DC
20,sensitivity,alpha,alpha_0.00,alpha/alpha_0.00/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.00__2018-07.json,20300,30,0.0,12,Texas-7k-DC
21,sensitivity,alpha,alpha_0.25,alpha/alpha_0.25/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.25__2018-07.json,20300,30,0.25,12,Texas-7k-DC
22,sensitivity,alpha,alpha_0.75,alpha/alpha_0.75/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_0.75__2018-07.json,20300,30,0.75,12,Texas-7k-DC
23,sensitivity,alpha,alpha_1.00,alpha/alpha_1.00/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__alpha__alpha_1.00__2018-07.json,20300,30,1.0,12,Texas-7k-DC
24,sensitivity,deferral,deferral_4h,deferral/deferral_4h/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_4h__2018-07.json,20300,30,0.5,4,Texas-7k-DC
25,sensitivity,deferral,deferral_8h,deferral/deferral_8h/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_8h__2018-07.json,20300,30,0.5,8,Texas-7k-DC
26,sensitivity,deferral,deferral_18h,deferral/deferral_18h/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_18h__2018-07.json,20300,30,0.5,18,Texas-7k-DC
27,sensitivity,deferral,deferral_24h,deferral/deferral_24h/2018-07,2018-07-01,31,/home/dp4800/Documents/GitHub/Vatic/scripts/study/tx_configs/tx_sens__deferral__deferral_24h__2018-07.json,20300,30,0.5,24,Texas-7k-DC
